Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,nike-air-zoom-vomero-18,Nike Air Zoom Vomero 18 GTX,,"$55 Nike Air Zoom Vomero 18 GTX. Developed with new technology, athletic running shoe with genuine Zoom cushioning technology. Sizes: 36-46",published,http://localhost:8000/images/imports/Nike%20Air%20Zoom%20Vomero%2018%20GTX/13409876550464293.jpg,,,,,,,,,,,,TRUE,,,Nike Air Zoom Vomero 18 GTX - One Size,NIKE-VOMERO-18-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,55.00,Size,One Size,http://localhost:8000/images/imports/Nike%20Air%20Zoom%20Vomero%2018%20GTX/13409876550464293.jpg,http://localhost:8000/images/imports/Nike%20Air%20Zoom%20Vomero%2018%20GTX/13409876568589344.jpg
,valentino-boots,VALENTINO Daigou Level Boots,,"$139 VALENTINO Daigou Level boots. Stunningly beautiful with hardware that highlights luxury. Imported calfskin, leather lining, EVE foam sole. Sizes: 35-40",published,,,,,,,,,,,,,TRUE,,,VALENTINO Daigou Level Boots - One Size,VALENTINO-BOOTS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,139.00,Size,One Size,,
,christian-louboutin-heels,Christian Louboutin Red Sole Heels,,"$119 Christian Louboutin (CL) Red Sole Shoes Early Spring Collection. A must-have high heel for every goddess. 5 heel heights available. Imported suede, patent leather, cowhide. Sheepskin lining, Italian red genuine leather outsole. Heel Height 10cm. Sizes 35-39",published,,,,,,,,,,,,,TRUE,,,Christian Louboutin Red Sole Heels - One Size,LOUBOUTIN-HEELS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,119.00,Size,One Size,,
,fendi-square-sunglasses,Fendi 2025 Square Frame Sunglasses,,"$51 Fendi 2025 early spring new style, trendy hot item, fashionable square-frame sunglasses, high quality, comfortable to wear, internet celebrity trendy shades, women's high-definition sunglasses",published,,,,,,,,,,,,,TRUE,,,Fendi 2025 Square Frame Sunglasses - One Size,FENDI-SQUARE-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,51.00,Size,One Size,,
,chanel-metal-sunglasses,Chanel 2025 Metal Sunglasses,,"$53 Chanel 2025 early spring new sunglasses. Various internet celebrities are wearing them, full of presence. Playful and sweet, the effect on the face is even better. The metal texture is excellent.",published,,,,,,,,,,,,,TRUE,,,Chanel 2025 Metal Sunglasses - One Size,CHANEL-METAL-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,53.00,Size,One Size,,
,fendi-frameless-sunglasses,Fendi F Diamond Frameless Sunglasses,,"$54 Fendi 2025 New Style, Absolutely Gorgeous F Diamond, Metal Square Frameless Sunglasses, Sun Protection, Slimming Effect, Anti-UV, Unisex. FE4082US",published,,,,,,,,,,,,,TRUE,,,Fendi F Diamond Frameless Sunglasses - One Size,FENDI-FRAMELESS-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,54.00,Size,One Size,,
,cartier-anti-blue-glasses,Cartier Anti-Blue Light Glasses,,$55 Cartier 2024 New Frameless Men's and Women's Fashion Anti-Blue Light High-Definition Ultra-light Stylish Young Portable Glasses,published,,,,,,,,,,,,,TRUE,,,Cartier Anti-Blue Light Glasses - One Size,CARTIER-ANTI-BLUE-GLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,55.00,Size,One Size,,
,lv-polarized-sunglasses,LV Large Frame Polarized Sunglasses,,$57 LV large-frame sunglasses. The classic square-frame design suits all face shapes. Polarized lenses prevent UV rays.,published,,,,,,,,,,,,,TRUE,,,LV Large Frame Polarized Sunglasses - One Size,LV-POLARIZED-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,57.00,Size,One Size,,
,ferragamo-fd8131-sunglasses,Salvatore Ferragamo FD8131 Sunglasses,,$58 Salvatore Ferragamo MODEL: FD8131 SIZE: 53-22-145,published,,,,,,,,,,,,,TRUE,,,Salvatore Ferragamo FD8131 Sunglasses - One Size,FERRAGAMO-FD8131-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,58.00,Size,One Size,,
,lv-polygon-sunglasses,LV 2025 Polygon Sunglasses,,"$60 LV 2025 new style men's and women's couple's sunglasses, polygon design. Electroplating never fades, super light and elastic, entire frame has no screws.",published,,,,,,,,,,,,,TRUE,,,LV 2025 Polygon Sunglasses - One Size,LV-POLYGON-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,60.00,Size,One Size,,
,ferragamo-sf1092-sunglasses,Salvatore Ferragamo SF1092SLB Sunglasses,,$69 Salvatore Ferragamo MODEL: SF1092SLB SIZE: 52-19-145,published,,,,,,,,,,,,,TRUE,,,Salvatore Ferragamo SF1092SLB Sunglasses - One Size,FERRAGAMO-SF1092-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,69.00,Size,One Size,,
